card_num	number	name_ko	rarity	card_type	subtype	hp	type	image_url	_source	_image_source_url	_name_source	_rarity_source	_jp_number
JP2026M6A132	132	지라치 ex	SAR	포켓몬				external/m6a-30th-celebration/JP2026M6A132.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374525	https://www.serebii.net/card/30thcelebrationjapan/132.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006194	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374525	132
JP2026M6A133	133	보만다 ex	SAR	포켓몬				external/m6a-30th-celebration/JP2026M6A133.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374535	https://www.serebii.net/card/30thcelebrationjapan/133.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006201	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374535	133
JP2026M6A134	134	뮤츠 ex	FUR	포켓몬				external/m6a-30th-celebration/JP2026M6A134.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374545	https://www.serebii.net/card/30thcelebrationjapan/134.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006168	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374545	134
JP2026M6A135	135	뮤 ex	FUR	포켓몬				external/m6a-30th-celebration/JP2026M6A135.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374555	https://www.serebii.net/card/30thcelebrationjapan/135.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006170	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374555	135
JP2026M6A136	136	피카츄	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A136.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374565	https://www.serebii.net/card/30thcelebrationjapan/136.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	136
JP2026M6A137	137	리자몽	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A137.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374575	https://www.serebii.net/card/30thcelebrationjapan/137.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	137
JP2026M6A138	138	이슬	REPRINT	트레이너				external/m6a-30th-celebration/JP2026M6A138.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374585	https://www.serebii.net/card/30thcelebrationjapan/138.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	138
JP2026M6A139	139	민화의 푸린	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A139.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374595	https://www.serebii.net/card/30thcelebrationjapan/139.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	139
JP2026M6A140	140	포푸니	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A140.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374605	https://www.serebii.net/card/30thcelebrationjapan/140.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	140
JP2026M6A141	141	빛나는 세레비	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A141.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374615	https://www.serebii.net/card/30thcelebrationjapan/141.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	141
JP2026M6A142	142	루기아	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A142.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374625	https://www.serebii.net/card/30thcelebrationjapan/142.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	142
JP2026M6A143	143	델케티	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A143.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374635	https://www.serebii.net/card/30thcelebrationjapan/143.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	143
JP2026M6A144	144	나쁜 마기라스	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A144.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374645	https://www.serebii.net/card/30thcelebrationjapan/144.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	144
JP2026M6A145	145	핫삼 ex	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A145.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374655	https://www.serebii.net/card/30thcelebrationjapan/145.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	145
